id,cites,cited_by,reference
0,,,
1,,,
2,,,
3,,,
6,,,
7,,,
8,,,
9,,,
12,,,
15,,,
17,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
28,,,
29,,,
31,,,
32,,,
33,,,
34,,,
35,,,
38,,,
39,,,
40,,,
41,,,
42,,,
44,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
57,,,
58,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
67,,,
69,,,
70,,,
71,,,
72,,,
75,,,
76,,,
78,,,
79,,,
80,,,
81,,,
83,,,
85,,,
86,,,
89,,,
91,,,
92,,,
93,,,
94,,,
95,,,
97,,,
98,,,
99,,,
103,,,
104,,,
106,,,
107,,,
109,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
129,,,
130,,,
131,,,
132,,,
133,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
162,,,
163,,,
164,,,
165,,,
168,,,
169,,,
170,,,
172,,,
177,,,
178,,,
179,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
188,,,
189,,,
190,,,
192,,,
193,,,
194,,,
195,,,
197,,,
198,,,
199,,,
201,,,
202,,,
203,,,
205,,,
206,,,
207,,,
208,,,
209,,,
214,,,
216,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
226,,,
227,,,
228,,,
229,,,
230,,,
232,,,
233,,,
234,,,
235,,,
239,,,
240,,,
241,,,
242,,,
244,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
263,,,
264,,,
266,,,
267,,,
269,,,
270,,,
271,,,
273,,,
274,,,
276,,,
277,,,
278,,,
